ADM3_FR;ADM3_PCODE;ADM3_REF;ADM3ALT1_FR;ADM3ALT2_FR;ADM2_FR;ADM2_PCODE;ADM1_FR;ADM1_PCODE;ADM0_FR;ADM0_PCODE;DATE;VALIDON;VALIDTO;AREA_SQKM
Amoussime;TG030702;;;;Yoto;TG0307;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;39,49808884
Amoussou Kope;TG040310;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;137,5049896
Amoutive;TG030302;;;;Golfe;TG0303;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;23,59866905
Aneho;TG030404;;;;Lacs;TG0304;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;17,39443588
Anfoin;TG030405;;;;Lacs;TG0304;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;25,37745857
Anie;TG041102;;;;Anie;TG0411;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;241,9824371
Anyron Kope;TG030602;;;;Vo;TG0306;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;32,3237915
Aouda;TG010302;;;;Sotouboua;TG0103;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;785,1157227
Assahoun/Ando Peme;TG030102;;;;Ave;TG0301;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;377,6624451
Assrama;TG040601;;;;Haho;TG0406;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;618,2469482
Atalote;TG020602;;;;Keran;TG0206;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;287,7512512
Atchangbade;TG020701;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;152,0704803
Atchinedji;TG041103;;;;Anie;TG0411;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;411,0511475
Atchintse;TG010102;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;176,9669189
Atsave;TG040602;;;;Haho;TG0406;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;305,8034668
Attitogon;TG030203;;;;Bas-Mono;TG0302;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;68,97885132
Avedje;TG040103;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;39,13008881
Awandjelo;TG020702;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;115,5108871
Badin;TG040501;;;;Est-Mono;TG0405;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;495,5167542
Badja;TG030103;;;;Ave;TG0301;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;173,5528717
Badou;TG040201;;;;Wawa;TG0402;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;99,67971039
Bafilo;TG020102;;;;Assoli;TG0201;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;155,7383575
Baga;TG020503;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;44,35381699
Baghan;TG020201;;;;Bassar;TG0202;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;473,1591797
Bago;TG010403;;;;Tchamba;TG0104;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;367,1400146
Bagou;TG051501;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;28,84272194
Baguida;TG030303;;;;Golfe;TG0303;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;44,69271469
Balanka;TG010404;;;;Tchamba;TG0104;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;69,73357391
Bangeli;TG020202;;;;Bassar;TG0202;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;207,4121552
Bapure;TG020401;;;;Dankpen;TG0204;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;245,6300201
Barkoissi;TG051401;;;;Oti;TG0514;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;51,32386017
Bassar;TG020203;;;;Bassar;TG0202;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;1285,577881
Biankouri;TG051701;;;;Cinkasse;TG0517;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;36,75505829
Bidjenga;TG051601;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;42,9177742
Bitchabe;TG020204;;;;Bassar;TG0202;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;150,3025513
Blitta-Gare;TG010104;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;107,6920395
Blitta Village;TG010103;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;62,74798965
Boade;TG051702;;;;Cinkasse;TG0517;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;25,04098892
Bodjonde;TG010303;;;;Sotouboua;TG0103;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;57,49713135
Bogou;TG051502;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;57,5284996
Bohou;TG020703;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;17,59177589
Bolou Kpeta;TG030803;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;75,17100525
Bombouaka;TG051503;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;64,00602722
Borgou;TG051301;;;;Kpendjal;TG0513;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;630,947937
Boufale;TG020301;;;;Binah;TG0203;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;55,4477005
Boulade;TG020103;;;;Assoli;TG0201;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;71,13673401
Boulogou;TG051504;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;39,50900269
Boulohou;TG010201;;;;Plaine du Mo;TG0102;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;343,7254028
Cinkasse;TG051703;;;;Cinkasse;TG0517;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;34,07910919
Dagbati;TG030603;;;;Vo;TG0306;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;96,54855347
Dako/Daoude;TG020104;;;;Assoli;TG0201;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;250,5148468
Dalave;TG030804;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;103,4765472
Dalia;TG040603;;;;Haho;TG0406;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;158,8435364
Danyi-Kakpa;TG040403;;;;Danyi;TG0404;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;88,41111755
Danyi Kpeto-Evita;TG040402;;;;Danyi;TG0404;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;46,63013458
Dapaong;TG051602;;;;Tone;TG0516;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;165,3159485
Datcha;TG040902;;;;Ogou;TG0409;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;98,10932159
Davie;TG030805;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;69,94210815
Defale;TG020504;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;68,40372467
Diguengue;TG010105;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;97,86713409
Dikpeleou;TG010106;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;27,19955826
Dimori;TG020205;;;;Bassar;TG0202;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;284,1622314
Djagble;TG030806;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;32,67445374
Djamde;TG020704;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;157,0064545
Djarkpanga;TG010202;;;;Plaine du Mo;TG0102;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;294,454895
Djemegni;TG040604;;;;Haho;TG0406;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;203,6005402
Djon;TG041001;;;;Akebou;TG0410;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;187,394455
Doufouli;TG010107;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;144,8269501
Doukpergou;TG051505;;;;Tandjoare;TG0515;Savanes;TG05;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;64,945755
Doume;TG040202;;;;Wawa;TG0402;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;58,39055634
